Country,GDP per capita,Life satisfaction
Slovenia,20732.482,5.7
Japan,32485.545,5.9
Iceland,50854.583,7.5
Greece,18064.288,4.8
Italy,29866.581,6.0
United States,55805.204,7.2
Turkey,9437.372,5.6
Slovak Republic,15991.736,6.1
Canada,43331.961,7.3
Brazil,8669.998,7.0
Czech Republic,17256.918,6.5
Spain,25864.721,6.5
Finland,41973.988,7.4
Belgium,40106.632,6.9
Austria,43724.031,6.9
Portugal,19121.592,5.1
Hungary,12239.894,4.9
United Kingdom,43770.688,6.8
Luxembourg,101994.093,6.9
Norway,74822.106,7.4
Estonia,17288.083,5.6
New Zealand,37044.891,7.3
Ireland,51350.744,7.0
France,37675.006,6.5
Israel,35343.336,7.4
Denmark,52114.165,7.5
Switzerland,80675.308,7.5
Netherlands,43603.115,7.3
Korea,27195.197,5.8
Sweden,49866.266,7.2
Poland,12495.334,5.8
Chile,13340.905,6.7
Russia,9054.914,6.0
Mexico,9009.28,6.7
Australia,50961.865,7.3
Germany,40996.511,7.0
